broken_ref;fixed_ref
https://redis.io/docs/manual/keyspace-notifications;
https://redis.io;
https://redis.io/docs/data-types/hashes/;
https://redis.io/docs/getting-started/install-stack/docker/;https://redis.io/docs/install/install-stack/docker/
https://redis.io/docs/connect/insight/;
https://redis.io/docs/getting-started/;https://redis.io/docs/install/
https://redis.io/docs/manual/data-types/streams/;https://redis.io/docs/data-types/streams/
https://redis.io/docs/data-types/hashes/;
https://redis.io/docs/data-types/json/;
https://redis.io/docs/data-types/sets/;
https://redis.io/docs/data-types/sorted-sets/;
https://redis.io/docs/data-types/streams/;
https://redis.io/docs/data-types/strings/;
https://redis.io/docs/manual/data-types/streams/;https://redis.io/docs/data-types/streams/
https://redis.io/docs/data-types/hashes/;
https://redis.io/docs/data-types/json/;
https://redis.io/docs/data-types/sets/;
https://redis.io/docs/data-types/sorted-sets/;
https://redis.io/docs/manual/keyspace-notifications/#events-generated-by-different-commands;
https://redis.io/docs/data-types/hashes/;
https://redis.io/topics/streams-intro;https://redis.io/docs/data-types/streams/
https://redis.io/topics/replication;https://redis.io/docs/management/replication/
https://redis.io/docs/manual/cli/;https://redis.io/docs/connect/cli/
https://redis.io/topics/sentinel;https://redis.io/docs/management/sentinel/
https://redis.io/docs/reference/cluster-spec/#hash-tags;
https://redis.io/docs/management/sentinel/#sentinel-api;
https://redis.io/docs/management/optimization/latency/;
https://redis.io/clients;
https://redis.io/docs/clients/python/;https://redis.io/docs/connect/clients/python/
https://redis.io/docs/clients/java/;https://redis.io/docs/connect/clients/java/
https://redis.io/docs/clients/dotnet/;https://redis.io/docs/connect/clients/dotnet/
https://redis.io/docs/clients/go/;https://redis.io/docs/connect/clients/go/
https://redis.io/docs/connect/clients/;
https://redis.io/docs/manual/security/acl/#acl-rules;https://redis.io/docs/management/security/acl/
https://redis.io/docs/management/security/acl/#command-categories;
https://redis.io/docs/manual/pubsub/;https://redis.io/docs/interact/pubsub/
https://redis.io/docs/management/security/acl/#selectors;
https://redis.io/docs/manual/pubsub/;https://redis.io/docs/interact/pubsub/
